,City,Cloudiness,Country,Humidity,Lat,Lon,Max Temp,Wind Speed
432,Balkanabat,0,TM,32,39.51,54.36,-3.83,2.59
433,Colares,40,PT,67,38.8,-9.45,17.22,6.2
434,Arlit,49,NE,12,18.74,7.39,35.12,4.18
435,Fort Nelson,5,CA,85,58.81,-122.69,-5.0,2.1
436,Eureka,1,US,93,40.8,-124.16,6.11,2.6
437,Stokmarknes,80,NO,81,68.56,14.91,3.33,3.03
438,Magadan,100,RU,96,59.56,150.8,-8.08,10.76
439,Requena,20,ES,31,39.49,-1.1,19.0,11.8
440,Puerto Escondido,20,MX,74,15.86,-97.07,26.0,4.1
441,Aksu,67,KZ,77,52.04,76.93,-14.0,4.0
442,Sangod,87,IN,46,24.93,76.29,23.4,2.44
443,Warsaw,90,PL,65,52.23,21.01,2.22,7.2
444,Jonkoping,100,SE,100,57.78,14.16,4.44,3.1
445,Niagara Falls,90,CA,69,43.1,-79.12,3.33,6.2
446,Cabo San Lucas,5,MX,88,22.89,-109.91,18.89,1.0
447,Viedma,33,AR,12,-40.81,-62.99,25.94,9.25
448,Devli,40,IN,53,28.23,77.32,24.44,2.6
449,Zaysan,89,KZ,90,47.47,84.87,-18.14,0.54
450,Petropavlovsk-Kamchatskiy,100,RU,72,53.05,158.65,-8.0,3.0
451,Payakumbuh,100,ID,97,-0.23,100.63,20.28,0.2
452,Payo,100,ID,93,-3.75,103.64,19.8,1.58
453,Presidente Olegario,100,BR,65,-18.42,-46.42,28.89,3.58
454,Kayerkan,96,RU,83,69.35,87.76,-23.0,7.0
455,Lavrentiya,100,RU,76,65.58,-170.99,-7.28,6.38
456,Rawson,10,AR,36,-43.3,-65.11,19.78,11.46
457,Bang Saphan,88,TH,77,11.21,99.51,26.06,2.33
458,Kitami,37,JP,86,43.8,143.9,3.35,4.24
459,Pangnirtung,100,CA,94,66.15,-65.72,-3.95,5.61
460,Mogzon,100,RU,89,51.74,111.97,-19.47,6.93
461,Atar,0,MR,13,20.52,-13.05,29.57,3.41
462,Moldava nad Bodvou,75,SK,87,48.61,21.0,7.78,0.5
463,Port-Gentil,20,GA,74,-0.72,8.78,30.0,5.7
464,Yangjiang,0,CN,90,21.85,111.96,18.77,0.82
465,Xinmin,90,CN,86,42.0,122.83,1.0,4.0
466,Tigzirt,98,DZ,69,36.57,4.2,10.59,8.43
467,Burla,100,RU,90,53.34,78.33,-16.43,4.0
468,El Palmar,100,VE,52,8.01,-61.91,30.39,1.96
469,Gouyave,20,GD,74,12.16,-61.73,31.0,6.48
470,Kroya,91,ID,74,-6.5,108.06,27.41,0.67
471,Sisimiut,100,GL,74,66.94,-53.67,-3.19,7.24
472,Aykhal,90,RU,75,65.95,111.51,-28.0,1.0
473,Kiruna,94,SE,95,67.86,20.23,0.0,6.2
474,Trairi,89,BR,47,-3.28,-39.27,31.95,3.14
475,Batagay-Alyta,9,RU,75,67.8,130.41,-35.42,1.03
476,Bonthe,100,SL,62,7.53,-12.5,31.46,3.54
477,Tura,100,RU,96,64.27,100.22,-26.32,1.24
478,Korsakov,75,RU,81,46.63,142.78,8.0,7.0
479,Kloulklubed,75,PW,94,7.04,134.26,25.0,1.5
480,Tessalit,0,ML,10,20.2,1.01,32.39,6.55
481,Artigas,0,BR,58,-30.4,-56.46,23.06,6.59
482,Luena,26,AO,63,-11.78,19.91,25.87,2.12
483,San Policarpo,5,PH,85,12.18,125.51,27.39,3.97
484,Safford,1,US,100,32.83,-109.71,5.0,2.79
485,Kolga,96,EE,63,59.49,25.62,-1.67,3.1
486,Sokolskoye,13,RU,45,57.14,43.16,-6.17,3.08
487,Lichinga,100,MZ,49,-13.3,35.25,28.01,0.94
488,Hutchinson,1,US,100,38.06,-97.93,1.11,2.1
489,Pundaguitan,33,PH,73,6.37,126.17,28.52,3.13
490,Jaipur,20,IN,56,26.92,75.82,23.0,2.37
491,Abaza,82,RU,80,52.65,90.1,-16.82,3.34
492,Kintampo,93,GH,27,8.05,-1.73,35.74,2.37
493,Lata,58,IN,83,30.78,78.62,-5.84,2.85
494,Praia,40,BR,54,-20.25,-43.81,27.0,3.6
495,Atambua,0,ID,77,-9.11,124.89,23.94,0.96
496,Seoul,20,KR,93,37.57,126.98,10.0,0.5
497,Jardim,99,BR,33,-21.48,-56.15,37.08,1.83
498,Ulaanbaatar,73,MN,76,47.92,106.92,-22.0,1.0
499,Bandarbeyla,2,SO,80,9.49,50.81,27.58,9.27
500,Mukhen,86,RU,73,48.19,136.14,-5.05,3.71
501,Khandbari,90,NP,88,27.38,87.21,7.79,0.63
502,Caxito,20,BR,59,-22.65,-42.51,32.0,4.6
503,Yonago,0,JP,93,35.42,133.37,10.0,2.1
504,Jaunjelgava,100,LV,71,56.62,25.08,-3.33,4.02
505,Ixhuatan,61,MX,55,16.36,-94.48,28.62,0.42
506,West Helena,29,US,100,34.55,-90.64,8.0,4.1
507,Sibu,75,MY,88,2.29,111.83,26.0,0.5
508,Beckley,90,US,75,37.78,-81.19,8.0,6.7
509,Solhan,90,TR,51,38.97,41.05,0.59,0.59
510,Kalanguy,100,RU,87,51.01,116.52,-21.23,1.61
511,Plover,1,US,79,44.46,-89.54,-1.0,3.6
512,Alice Springs,0,AU,13,-23.7,133.88,21.0,1.0
513,Barcelos,100,BR,67,-0.97,-62.93,29.08,1.88
514,Xining,96,CN,51,36.62,101.77,-4.01,4.27
515,Vazante,100,BR,63,-17.99,-46.9,25.91,4.08
516,Mwinilunga,100,ZM,89,-11.73,24.43,20.1,0.96
517,Formosa,78,BR,60,-15.55,-47.33,26.3,2.75
518,Emporia,1,US,80,38.4,-96.18,2.22,3.6
519,Santa Cruz del Sur,23,CU,76,20.71,-78.0,25.56,8.47
520,Sur,100,OM,57,22.57,59.53,23.49,4.7
521,Miyako,0,JP,93,33.63,130.94,15.0,2.1
522,Namatanai,93,PG,71,-3.66,152.44,27.48,4.01
523,Karasburg,0,NA,7,-28.01,18.75,30.24,6.08
524,Tevaitoa,100,PF,78,-16.78,-151.5,27.12,6.96
525,Walvis Bay,0,NA,56,-22.95,14.51,19.5,9.79
526,San Jose,0,HN,71,14.25,-87.96,22.46,1.23
527,Mayumba,9,GA,82,-3.44,10.65,26.75,6.62
528,Porto Walter,100,BR,94,-8.27,-72.74,22.95,3.35
529,Dwarka,40,IN,53,28.58,77.04,24.44,2.6
530,Broken Hill,0,AU,28,-31.97,141.45,21.0,8.2
531,Nanga Eboko,8,CM,39,4.68,12.37,30.94,0.4
532,Wanning,10,AT,62,48.64,13.53,13.0,4.1
533,Srednekolymsk,91,RU,98,67.46,153.71,-29.06,2.31
534,Fairbanks,90,US,92,64.84,-147.72,-4.44,1.1
535,Sakleshpur,51,IN,71,12.94,75.79,18.46,3.73
536,Mogadishu,75,SO,69,2.04,45.34,28.0,3.1
537,Bonavista,100,CA,85,48.65,-53.11,2.78,2.24
538,Grimshaw,20,CA,56,56.19,-117.61,6.11,9.3
539,Kimbe,0,PG,83,-5.56,150.15,21.2,1.44
540,Do Gonbadan,0,IR,41,30.36,50.8,15.0,0.66
541,Tanete,100,ID,83,-3.94,119.78,23.97,0.69
542,Shingu,6,JP,73,33.72,135.99,18.83,4.39
543,Mstera,91,RU,39,56.38,41.92,-5.86,1.54
544,Ekhabi,86,RU,95,53.51,142.97,-4.78,6.01
545,Oktyabrskiy,92,RU,78,55.61,37.97,-4.44,3.0
546,Zonguldak,94,TR,72,41.25,31.83,8.7,0.7
547,Verkhnevilyuysk,97,RU,96,63.45,120.31,-22.92,2.21
548,Chapais,90,CA,92,49.78,-74.86,-7.0,5.7
549,Chuzhou,42,CN,94,32.25,118.33,17.78,1.26
